anio,mes,dia,hora(utc),altura(mm)
2016,1,12,18,1038 
2016,1,12,19,922 
2016,1,12,20,701 
2016,1,12,21,428 
2016,1,12,22,163 
2016,1,12,23,-54 
2016,1,13,0,-191 
2016,1,13,1,-215 
2016,1,13,2,-111 
2016,1,13,3,91 
2016,1,13,4,330 
2016,1,13,5,551 
2016,1,13,6,713 
2016,1,13,7,782 
2016,1,13,8,751 
2016,1,13,9,643 
2016,1,13,10,499 
2016,1,13,11,366 
2016,1,13,12,283 
2016,1,13,13,283 
2016,1,13,14,382 
2016,1,13,15,556 
2016,1,13,16,740 
2016,1,13,17,880 
2016,1,13,18,946 
2016,1,13,19,913 
2016,1,13,20,772 
2016,1,13,21,557 
2016,1,13,22,321 
2016,1,13,23,106 
2016,1,14,0,-56 
2016,1,14,1,-134 
2016,1,14,2,-100 
2016,1,14,3,45 
2016,1,14,4,257 
2016,1,14,5,479 
2016,1,14,6,664 
2016,1,14,7,774 
2016,1,14,8,789 
2016,1,14,9,721 
2016,1,14,10,599 
2016,1,14,11,461 
2016,1,14,12,339 
2016,1,14,13,271 
2016,1,14,14,282 
2016,1,14,15,379 
2016,1,14,16,529 
2016,1,14,17,675 
2016,1,14,18,777 
2016,1,14,19,811 
2016,1,14,20,759 
2016,1,14,21,626 
2016,1,14,22,450 
2016,1,14,23,270 
2016,1,15,0,113 
2016,1,15,1,8 
2016,1,15,2,-17 
2016,1,15,3,55 
2016,1,15,4,212 
2016,1,15,5,409 
2016,1,15,6,599 
2016,1,15,7,740 
2016,1,15,8,803 
2016,1,15,9,783 
2016,1,15,10,700 
2016,1,15,11,580 
2016,1,15,12,445 
2016,1,15,13,328 
2016,1,15,14,260 
2016,1,15,15,264 
2016,1,15,16,337 
2016,1,15,17,447 
2016,1,15,18,551 
2016,1,15,19,623 
2016,1,15,20,644 
2016,1,15,21,603 
2016,1,15,22,510 
2016,1,15,23,396 
2016,1,16,0,282 
2016,1,16,1,185 
2016,1,16,2,129 
2016,1,16,3,138 
2016,1,16,4,220 
2016,1,16,5,360 
2016,1,16,6,526 
2016,1,16,7,677 
2016,1,16,8,779 
2016,1,16,9,813 
2016,1,16,10,782 
2016,1,16,11,703 
2016,1,16,12,587 
2016,1,16,13,451 
2016,1,16,14,328 
2016,1,16,15,248 
2016,1,16,16,224 
2016,1,16,17,254 
2016,1,16,18,316 
2016,1,16,19,383 
2016,1,16,20,440 
2016,1,16,21,472 
2016,1,16,22,470 
2016,1,16,23,441 
2016,1,17,0,400 
2016,1,17,1,352 
2016,1,17,2,306 
2016,1,17,3,283 
2016,1,17,4,298 
2016,1,17,5,359 
2016,1,17,6,465 
2016,1,17,7,593 
2016,1,17,8,711 
2016,1,17,9,792 
2016,1,17,10,822 
2016,1,17,11,801 
2016,1,17,12,733 
2016,1,17,13,619 
2016,1,17,14,477 
2016,1,17,15,339 
2016,1,17,16,230 
2016,1,17,17,162 
2016,1,17,18,138 
2016,1,17,19,152 
2016,1,17,20,195 
2016,1,17,21,258 
2016,1,17,22,324 
2016,1,17,23,380 
2016,1,18,0,425 
2016,1,18,1,456 
2016,1,18,2,464 
2016,1,18,3,450 
2016,1,18,4,430 
2016,1,18,5,422 
2016,1,18,6,446 
2016,1,18,7,512 
2016,1,18,8,611 
2016,1,18,9,714 
2016,1,18,10,799 
2016,1,18,11,846 
2016,1,18,12,845 
2016,1,18,13,788 
2016,1,18,14,672 
2016,1,18,15,517 
2016,1,18,16,353 
2016,1,18,17,201 
2016,1,18,18,78 
2016,1,18,19,1 
2016,1,18,20,-18 
2016,1,18,21,20 
2016,1,18,22,108 
2016,1,18,23,223 
2016,1,19,0,344 
2016,1,19,1,461 
2016,1,19,2,551 
2016,1,19,3,592 
2016,1,19,4,580 
2016,1,19,5,535 
